H28ID,学修項目,理由・コメント
B-01-01-na-02,主要な確率分布を説明できる。,衛生学公衆衛生学教育協議会との意見交換で優先順位は高くないと合意（正規分布のみ残す）
B-01-02-na-02,パラメトリック検定とノンパラメトリック検定の違いを説明できる。,衛生学公衆衛生学教育協議会との意見交換で優先順位は高くないと合意（正規分布のみ残す）
B-01-03-na-01,根拠に基づいた医療<EBM>の５つのステップを列挙できる。,総合へ
B-01-03-na-02,"Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。",総合へ
B-01-03-na-04,データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。,総合へ
B-01-03-na-05,得られた情報の批判的吟味ができる。,総合へ
B-01-03-na-06   ,診療ガイドラインの種類と使用上の注意を列挙できる。,総合へ
B-01-03-na-07        診療ガイドラインの推奨の強さについて違いを説明できる。,,総合へ
B-01-05-na-03,身体活動、運動を説明できる。,総合へ
B-01-06-na-05        ,スポーツ医学を説明できる。,総合へ
B-01-07-na-07        地域医療に積極的に参加・貢献する。,,総合へ
B-01-08-na-05,医療の質の確保（病院機能評価、国際標準化機構(International Organization for Standardization <ISO>)、医療の質に関する評価指標、患者満足度、患者説明文書、同意書、同意撤回書、クリニカルパス等）を説明できる。,生涯にわたって共に学ぶ姿勢へ
B-01-08-na-08        ,医療における費用対効果分析を説明できる。,？
B-02-02-na-04,電子化された診療情報の作成ができ、管理を説明できる。,情報・科学技術を活かす能力へ
B-03-01-na-01,医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。,科学的探究へ
B-03-01-na-02,臨床研究、臨床試験、治験と市販後臨床試験の違いを概説できる。,？
B-03-01-na-03,臨床試験・治験と倫理性（ヘルシンキ宣言、第Ⅰ・Ⅱ・Ⅲ・Ⅳ相試験、医薬品の臨床試験の実施の基準(Good Clinical Practice <GCP>)、治験審査委員会・倫理審査委員会(institutional review board <IRB>)）を説明できる。,？
B-03-01-na-04,薬物に関する法令を概説し、医薬品の適正使用に関する事項を列挙できる。,？
B-03-01-na-05,副作用と有害事象の違い、報告の意義（医薬品・医療機器等安全性情報報告制度等）を説明できる。,？
