H28ID,理由・コメント,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
A-09-01-na-05,,臨床実習で経験したことを省察し、自己の課題を明確にする。,（生涯学習のテーマとやや離れるため）技能もしくはガイドラインで触れる,,,14に反映されているのでは,,,,,,
E-09-01-na-05,診療関連死を医療安全に入れるか、人の死に入れるか、悩ましいです。,診療関連死を説明できる。,診療関連死を1項目として取り上げる必要性がない,,,どちらかなら医療安全のほうでは。技能208に統合しては？,,,,,医療安全のように思います,
A-06-01-na-01,,実際の医療には、多職種が多段階の医療業務内容に関与していることを具体的に説明できる。,多職種へ送る,,,多職種に反映されているとしてよいと思います,,,,,,
A-06-01-na-02,,医療上の事故等を防止するためには、個人の注意（ヒューマンエラーの防止）はもとより、組織的なリスク管理（制度・組織エラーの防止）が重要であることを説明できる。,反映している,,,2に反映されているのでは,,,,,,
A-06-01-na-05,,医療の安全性確保のため、職種・段階に応じた能力向上の必要性を説明できる。,患者安全の項としては不要,,,6に部分的に反映されていると思いますし、能力向上については多職種で扱われていること、漠然としておりこの項目自体削除でよいのではないかという点から、問題ないのでは,,,,,,
A-06-01-na-08,,真摯に疑義に応じることができる。,技能に復活,,,多職種5-6に反映しているとしてよいのでは,,,,,おそらくコミュニケーションに含まれると思います,
A-06-02-na-01,入れたほうがよいか,医療上の事故等（インシデントを含む）と合併症の違いを説明できる。,A-06-02-na-02にまとめる,,,説明できることがどのような問題の解決に必要なのか、を明確にしてみて、その問題解決についての能力が他で扱われているなら、これは消えてもいいかもしれないと思います。,,,,,,
A-06-02-na-02,入れたほうがよいか,医療上の事故等（インシデントを含む）が発生したときの緊急処置や記録、報告を説明し、実践できる。,技能に復活,,,3に反映されているとしてよいのでは,,,,,生涯3に含まれるように思います。,
A-06-02-na-03,,医療過誤に関連した刑事・民事責任や医師法に基づく行政処分を説明できる。,必要かどうか検討中,,,刑事・民事責任や行政処分について知らなくても、他で扱われているような医療過誤予防のさまざまな能力があれば、医療過誤を防ぐことはできると思うので、個人的には削除でよいかもしれないと思います。,,,,,,
A-06-02-na-04,,基本的予防策（ダブルチェック、チェックリスト法、薬品名称の改善、フェイルセイフ・フールプルーフの考え方等）を概説し、指導医の指導の下に実践できる。,技能に復活,,,これは入れたほうがいいような気がします,,,,,,
A-06-03-na-03,,患者隔離の必要な場合を説明できる。,不要,,,6に統合して「患者安全のための管理体制（患者隔離を含む）と各々の役割（リスクマネージャー、医療安全管理委員会等）を概説できる」としますか？,,,,,,
A-06-03-na-04,各論すぎるので別の項がよいとおもわれる,針刺し事故（針刺切創）等に遭遇した際の対処の仕方を説明できる。,技能に復活,,,知識220に反映されています,,,,,,
